model,window,dept_id,MASE,RMSSE,sMAPE,MAE,RMSE,MAPE,ME,MPE
drift,2,ELECTIVE_SURGERY,2.29770923854608,1.7745017864272081,81.58487498760287,20.008713537771133,22.47187170824962,474.33229608034566,-3.5367614061331345,-441.014904979024
seasonal_mean_4w,2,ELECTIVE_SURGERY,1.1175948174526344,1.0230197200217923,49.787980597850996,9.732142857142858,12.95528022523194,52.854587690389685,-2.392857142857143,-30.181114625872908
naive,2,EMERGENCY,1.307978553959348,1.160369107319984,36.456995148556324,38.32142857142857,45.066221116422504,29.785674322621126,37.892857142857146,29.21906793322993
mean,2,EMERGENCY,1.1193050944606444,0.967391768099961,26.041997532613014,32.79363419007772,37.57139952483888,31.947500095073185,-28.57471607890019,-29.588891877423464
seasonal_naive,2,EMERGENCY,0.9276530098444211,0.9082101963708644,25.008982718218203,27.178571428571427,35.27291555044141,22.10382475908635,19.75,13.328531416715991
drift,2,EMERGENCY,1.356117893369841,1.199490819905099,38.14056287706378,39.73182498130143,46.58562363988846,30.893920140120684,39.547830964846675,30.65011465583538
seasonal_mean_4w,2,EMERGENCY,0.8575609624514459,0.8362716084447518,22.499515510173246,25.125,32.478976716815275,20.03885654118141,18.785714285714285,12.303809379414298
naive,2,ONCOLOGY,1.7717569786535303,1.5671513782558828,67.63478269518203,11.857142857142858,14.786576924456083,360.88435329063645,-5.285714285714286,-342.191492890473
mean,2,ONCOLOGY,1.8964529615049022,1.4894873650695812,78.18503758779414,12.69164674237896,14.053791999416307,256.13665995852807,2.608637178720861,-207.92937521890883
seasonal_naive,2,ONCOLOGY,0.9819376026272577,0.9576402676735598,43.7080932151693,6.571428571428571,9.035643703846292,50.78494008249967,1.5714285714285714,-21.61158740853827
drift,2,ONCOLOGY,1.7854142487469802,1.5829685248935916,67.67198650463216,11.948541510845175,14.935816786494284,366.22192524788863,-5.680478683620044,-348.4662456438462
seasonal_mean_4w,2,ONCOLOGY,0.8672003284072249,0.841287331956312,39.74024531148411,5.803571428571429,7.937816360399664,42.248268787530584,0.6071428571428571,-18.656935948224174
naive,2,ORTHOPEDICS,2.3302925237976395,2.034275576814503,52.77877824229559,19.678571428571427,22.95259089016812,98.8932262373981,-16.678571428571427,-94.0475320190959
mean,2,ORTHOPEDICS,1.702635879589678,1.5109764384281672,45.65726637816677,14.37821279139271,17.048242839464333,49.15323239768488,6.480424387328151,-5.930944134470766
seasonal_naive,2,ORTHOPEDICS,1.1545732468180683,1.1627263554478837,24.83184164739621,9.75,13.118961195809021,31.882806931198953,-7.964285714285714,-28.552649185718625
drift,2,ORTHOPEDICS,2.393265623042996,2.08008427577611,53.67299122407696,20.210359012715035,23.46944727799493,101.19561965413617,-17.361817501869858,-96.59817496353698
seasonal_mean_4w,2,ORTHOPEDICS,1.0171240507682981,1.0017830972927733,22.95545837727987,8.589285714285714,11.303049525301947,28.25925216314811,-5.785714285714286,-23.129081418475153
naive,2,PEDIATRICS,0.5275889792334273,0.5552493548230636,24.3612218551507,6.964285714285714,9.951668919619175,22.545889656226297,4.178571428571429,6.426390473153856
mean,2,PEDIATRICS,1.4244902439302534,1.152226934720696,53.43366215144938,18.803571428571427,20.651227912298925,82.7378792717881,-18.571428571428573,-82.27359355750238
seasonal_naive,2,PEDIATRICS,0.6412235286067808,0.6770485233102167,31.40828665606769,8.464285714285714,12.134661099511597,28.208738760266826,4.035714285714286,4.688682034830127
drift,2,PEDIATRICS,0.5389212703701366,0.5644768593695428,24.963239377841028,7.113874345549738,10.117052398957219,22.911746030449635,4.482236350037398,7.558926233298043
seasonal_mean_4w,2,PEDIATRICS,0.584406253920104,0.6200036156885554,27.642045709626135,7.714285714285714,11.112251925561392,24.53789946760035,5.464285714285714,11.023149035148059
naive,3,CARDIOLOGY,2.7301343780392586,2.392670030704298,63.67362091535502,29.142857142857142,33.31451849955426,160.76683445471858,-29.142857142857142,-160.76683445471858
mean,3,CARDIOLOGY,1.1921216847197167,1.1800221915667006,39.127149643713246,12.725319396051102,16.43012643881434,75.29563379906149,-3.0656213704994184,-57.735346217035676
seasonal_naive,3,CARDIOLOGY,0.8431297343944769,0.8506599633736458,24.801413088524278,9.0,11.84422704467093,27.709994631665474,0.14285714285714285,-6.16090008346667
drift,3,CARDIOLOGY,2.8019914843728673,2.437632422168211,64.67235402632508,29.909896817323066,33.94055568938265,163.41992852203944,-29.909896817323066,-163.41992852203944
